"MovieId","Movie Rating","Duration","Gross_M","Worldwide LT Gross","Metascore","MovieAge","Action","comedy","horror","romance","sci_fi","drama","MovieLength","Votes_cat"
"116a7a7d04db0b0a0bbc0b6a004a4e6e5696bbd0",5.0,113,91,177311151,42,23,0,0,0,0,0,0,"1hr 53mins","Satisfactory"
"117e0854a831634a1ca3278397cb4adf7c6928c9",7.3,135,327,701842551,69,5,0,0,1,0,0,0,"2hr 15mins","Adequate"
"1228c07c38383529ac52da23f75fe29755517c0e",6.2,117,59,242688965,52,8,1,0,0,0,1,0,"1hr 57mins","Adequate"
"1242be1b59fa74aacb0a20b981c881d61295c284",4.5,88,220,443140005,41,13,0,1,0,0,0,0,"1hr 28mins","Satisfactory"
"1252ad53d573431ae1e6fd1328a1637ba6a909d6",7.5,123,105,223664608,59,28,0,0,1,0,0,1,"2hr 3mins","Adequate"
"12ad69342a63009ff7505837c8024165e99115c9",7.3,134,700,1347597973,88,4,1,0,0,0,1,0,"2hr 14mins","Adequate"
"12b18afaf04dd840bc6921e740051971d70b38f7",6.0,100,0,226120658,60,0,1,0,0,0,0,0,"1hr 40mins","Satisfactory"
"13166e8fa1126b335530a75419962e924dc14971",5.7,94,104,335287748,41,10,1,1,0,0,0,0,"1hr 34mins","Adequate"
"133c3f1516c1e3365d30054725b51be2c981f34f",6.0,84,140,300135367,61,23,0,0,0,0,0,0,"1hr 24mins","Adequate"
"13dfabef55303ff4a1123bfe34ab61bf17b7d3a4",6.5,114,103,352794081,52,5,0,0,0,0,0,0,"1hr 54mins","Adequate"
"1467be2aa4bb5dd8a865ff4b49f7512bd51fa584",7.2,127,371,612054506,47,18,0,0,0,0,0,1,"2hr 7mins","Adequate"
"1487fea2af7113d35531b257edc98b4a99d4cadb",6.6,95,206,312016928,59,23,1,1,0,0,0,0,"1hr 35mins","Adequate"
"14bb2fec276679f4bdc923c39197ab2b9df72321",7.7,104,176,255745157,85,5,0,0,1,0,0,0,"1hr 44mins","Adequate"
"1522d4e55632369a50862eec87bc7ff3135ffe22",6.7,118,145,321731527,40,30,1,0,0,0,0,0,"1hr 58mins","Adequate"
"1573814bd23e5f19d416bb77a4514a469642edad",6.9,128,356,1050693953,53,3,0,0,0,0,0,0,"2hr 8mins","Adequate"
"159378066865f29254dda5b724ebdc8ab1ad7db1",6.4,108,145,287553595,43,21,0,1,0,0,0,0,"1hr 48mins","Adequate"
"1599a1d29e559a314856ac3b56db9f545270deb6",7.8,108,119,332500002,57,33,0,0,0,0,1,0,"1hr 48mins","Adequate"
"15e37a0a8ffa19eb4ea826b36ce34e75d08e5e4f",6.6,140,105,321669741,53,12,1,0,0,0,0,0,"2hr 20mins","Adequate"
"1636aed0c58de7b979541f9d654fd55a3d768cf5",6.3,156,165,402064899,52,1,1,0,0,0,0,0,"2hr 36mins","Adequate"
"1697958c46d864addcfc1d2de10e619c9359bc88",6.4,86,214,349183316,46,10,0,1,0,0,0,0,"1hr 26mins","Adequate"
"16e9cc0eb938e9b2bc41071431d79af213c97bb6",4.1,125,166,569651467,46,7,0,0,0,0,0,1,"2hr 5mins","Adequate"
"175b61910a362ea4d8c80407f2f55663b112579a",7.6,83,185,184925486,95,85,0,0,0,0,0,0,"1hr 23mins","Adequate"
"184d22f2af12c19bb5fc5443a61e01ac2ad5927e",8.2,111,70,180906076,69,19,1,0,0,0,0,0,"1hr 51mins","High"
"184f2784345122aef83a4bac2e2c0fc9e187a701",8.2,140,207,373672993,70,17,1,0,0,0,0,0,"2hr 20mins","High"
"1867843421090b934c154b9dbbe9313b4491f272",7.8,147,408,1153337496,75,6,1,0,0,0,1,0,"2hr 27mins","Adequate"
"186f234a3228f9fe07d3ff13007e22ee8baccd06",6.5,169,212,473122525,58,3,0,0,1,0,0,1,"2hr 49mins","Adequate"
"18d525e2c5fd1cfdc1d3fb839b7d48987bf58412",8.2,180,117,392000694,75,9,0,0,0,0,0,0,"3hr 0mins","High"
"18ec5177c9066ef35216169078366b94557c8d56",7.2,146,79,235926552,65,21,0,0,0,0,1,1,"2hr 26mins","Adequate"
"193fc2d92b3d7a0e207ee6a736bf9a7939f76ebb",5.6,105,79,244874809,27,7,1,0,0,0,0,0,"1hr 45mins","Adequate"
"1947c057d3b5f36ffa4ac82968f780258236f571",6.9,131,102,411002906,65,9,1,0,0,0,1,0,"2hr 11mins","Adequate"
"197ff7a5884b543b9a0f6a6e90ad4bffd8ff10dd",6.4,113,158,191466556,48,17,0,0,0,0,0,0,"1hr 53mins","Adequate"
"19840b256f8edcfe23046bfe54389c02ed592ca5",5.7,120,66,179246868,33,6,1,0,0,0,0,0,"2hr 0mins","Adequate"
"19ca38da24d34b6773b1f7ca0b5f47f8b5ddb36c",8.3,170,67,187436818,76,27,1,0,0,0,0,0,"2hr 50mins","Adequate"
"19e11d45625718d41850391f1cfb299116b1e17d",6.0,100,104,180613824,30,5,0,1,0,0,0,0,"1hr 40mins","Satisfactory"
"19ee1fe22ee821197743f30c31e506bce2a874de",6.6,95,115,351496066,51,4,0,0,0,0,0,0,"1hr 35mins","Satisfactory"
"1a36d92a96a5471d1ba0f55d2697176c440b9a4c",6.6,127,130,285444603,37,24,1,0,0,0,0,0,"2hr 7mins","Adequate"
"1a3eacff15689443f1296ed47f524ea9623536df",6.4,91,128,262511490,64,17,0,1,0,0,0,0,"1hr 31mins","Adequate"
"1a50d225b022f4e3c4aa072f9d65ae1d73ea18e3",6.6,112,135,264770996,61,14,1,0,0,0,1,0,"1hr 52mins","Adequate"
"1a5f80a1e756dc565e3f5c1bcc9ef20634d6812f",5.2,112,102,403449830,31,14,1,0,0,0,0,0,"1hr 52mins","Adequate"
"1a73bf625eb820eeda40b5394cdcc9b36577d281",6.6,139,151,288885818,48,8,1,0,0,0,0,0,"2hr 19mins","Adequate"
"1a83835193447b896aed87c6b4a3e77e6c0eda44",5.5,104,79,233093859,40,14,0,0,0,0,1,0,"1hr 44mins","Adequate"
"1adf54bde0a65f59580e90386520668b6218042e",6.4,86,159,430051293,55,3,0,1,0,0,0,0,"1hr 26mins","Satisfactory"
"1b946b6373eb316d2bde8317408002617d1e8e50",5.2,154,130,605425157,27,5,1,0,0,0,1,0,"2hr 34mins","Adequate"
"1bc1baaa172ec845010c1942e53c6af5f95d29ed",6.2,89,265,1034800131,49,5,0,1,0,0,0,0,"1hr 29mins","Adequate"
"1c359740b21c4abb1d12cb3594ddaa5d9130e4bc",6.9,144,155,543934105,52,6,1,0,0,0,1,0,"2hr 24mins","Adequate"
"1c48e0ac208acc16ba1c87a825e79a7145866018",6.1,127,155,396592829,57,10,1,0,0,0,0,0,"2hr 7mins","Adequate"
"1c53bf821194d8516af59f93fecefcbfaabab52a",7.0,130,239,788680968,61,9,1,0,0,0,0,0,"2hr 10mins","Adequate"
"1cb4334bde03c46432dacaf08259d2d4408ec31f",7.8,102,223,657869686,74,8,1,0,0,0,0,0,"1hr 42mins","Adequate"
"1cd3a5d698cff35a7725069c18244726d20b0d3d",7.5,96,144,232372681,81,15,0,0,0,0,0,0,"1hr 36mins","Adequate"
"1ce1cfb0df161a73a68abfd37934400187c62287",5.8,133,81,204594016,50,12,0,0,0,1,0,0,"2hr 13mins","Satisfactory"
"1d26eaf1a0ebc241932c89323357b4379e46423f",7.5,81,176,383257136,61,20,0,1,0,0,0,0,"1hr 21mins","Adequate"
"1dd7987619cf3923b557c8a279c53eda63dc1f69",5.6,116,152,309460292,39,23,0,0,0,1,0,0,"1hr 56mins","Satisfactory"
"1e2a9c6a3e761d2dd6e3340a2855fc44fdc41526",7.6,129,256,309231694,53,13,0,0,0,0,0,0,"2hr 9mins","Adequate"
"1e536cd54b8da6eaafa07b2cabff698224951f4d",8.0,144,167,616502912,80,16,1,0,0,0,0,0,"2hr 24mins","Adequate"
"1e7e1f504cc94f4de38d9c1d6f9f264ccb5a2816",8.1,128,96,235860116,79,33,0,0,0,0,0,0,"2hr 8mins","Adequate"
"1e993bb3a05b8c820607a38b279f1b5f8d8d4fab",7.3,106,95,248118121,62,22,0,0,0,0,1,1,"1hr 46mins","Adequate"
"1f5588d36a33d9785bf9b510d3b5145cd2a508db",7.0,124,126,403354469,64,10,0,0,0,0,1,0,"2hr 4mins","Adequate"
"1f588c5d33a033603e304294288670125ed663e1",6.4,103,103,274470394,45,12,1,0,0,0,0,0,"1hr 43mins","Adequate"
"1f5faff2b413034669b2e876602f2a25f60561bf",7.7,139,148,314178011,67,25,0,0,0,1,0,0,"2hr 19mins","Adequate"
"1fc97754bdfacdfbdcff96fc132ca360b85f76f0",6.0,92,163,325186032,62,7,0,1,0,0,0,0,"1hr 32mins","Satisfactory"
"20363c87a23cf758ef6a216484904e1f5f90b630",5.7,125,110,216528528,34,12,0,0,0,1,0,0,"2hr 5mins","Adequate"
"2071075a64ce4b1e642c55622c7116dd7a4f4803",7.2,100,65,205035819,43,5,0,0,0,0,0,0,"1hr 40mins","Satisfactory"
"20a6d375ee5d176e21e898bd595cb6e9d36ffccd",8.0,155,108,401847900,74,1,1,0,0,0,0,0,"2hr 35mins","Adequate"
"21392795e2b17e5ee150249760a7a2b625f477df",6.9,91,67,254134910,83,27,0,0,0,0,0,0,"1hr 31mins","Adequate"
